Geography,Cases
"Madison County, Georgia",50.0
"Marion County, Georgia",14.0
"Meriwether County, Georgia",58.0
"Miller County, Georgia",17.0
"Mitchell County, Georgia",71.0
"Monroe County, Georgia",40.0
"Montgomery County, Georgia",20.0
"Morgan County, Georgia",15.0
"Murray County, Georgia",64.0
"Muscogee County, Georgia",707.0
"Newton County, Georgia",290.0
"Oconee County, Georgia",20.0
"Oglethorpe County, Georgia",21.0
"Paulding County, Georgia",214.0
"Peach County, Georgia",93.0
"Pickens County, Georgia",20.0
"Pierce County, Georgia",32.0
"Pike County, Georgia",10.0
"Polk County, Georgia",78.0
"Pulaski County, Georgia",21.0
"Putnam County, Georgia",49.0
"Quitman County, Georgia",1.0
"Rabun County, Georgia",7.0
"Randolph County, Georgia",15.0
"Richmond County, Georgia",0.0
"Rockdale County, Georgia",323.0
"Schley County, Georgia",5.0
"Screven County, Georgia",46.0
"Seminole County, Georgia",21.0
"Spalding County, Georgia",168.0
"Stephens County, Georgia",39.0
"Stewart County, Georgia",8.0
"Sumter County, Georgia",109.0
"Talbot County, Georgia",7.0
"Taliaferro County, Georgia",5.0
"Tattnall County, Georgia",57.0
"Taylor County, Georgia",14.0
"Telfair County, Georgia",36.0
"Terrell County, Georgia",36.0
"Thomas County, Georgia",189.0
"Tift County, Georgia",132.0
"Toombs County, Georgia",107.0
"Towns County, Georgia",0.0
"Treutlen County, Georgia",25.0
"Troup County, Georgia",201.0
"Turner County, Georgia",34.0
"Twiggs County, Georgia",19.0
"Union County, Georgia",3.0
"Upson County, Georgia",77.0
"Walker County, Georgia",72.0
"Walton County, Georgia",93.0
"Ware County, Georgia",141.0
"Warren County, Georgia",17.0
"Washington County, Georgia",73.0
"Wayne County, Georgia",57.0
"Webster County, Georgia",3.0
"Wheeler County, Georgia",15.0
"White County, Georgia",9.0
"Whitfield County, Georgia",180.0
"Wilcox County, Georgia",18.0
"Wilkes County, Georgia",29.0
"Wilkinson County, Georgia",22.0
"Worth County, Georgia",54.0
"Hawaii County, Hawaii",144.0
"Honolulu County, Hawaii",0.0
"Kalawao County, Hawaii",0.0
"Kauai County, Hawaii",35.0
"Maui County, Hawaii",114.0
"Ada County, Idaho",475.0
"Adams County, Idaho",1.0
"Bannock County, Idaho",37.0
"Bear Lake County, Idaho",0.0
"Benewah County, Idaho",3.0
"Bingham County, Idaho",28.0
"Blaine County, Idaho",4.0
"Boise County, Idaho",1.0
"Bonner County, Idaho",12.0
